PARAMETER_ID,PARAMETER_NAME,RAW_VALUE,UNIT_AS_WRITTEN,NORMALIZED_VALUE_IF_SAFE,NORMALIZED_UNIT_IF_SAFE,SOURCE_DOCUMENT,SOURCE_VERSION,PAGE,SECTION,FIGURE_TABLE,EXACT_SOURCE_CONTEXT,RELATED_COMPONENT,RELATED_FUNCTION,CLASSIFICATION,SOURCE_STATUS,T_OCS_STATUS,BUILD_CRITICALITY,CAN_BE_USED_AS_P0_BUILD_INPUT,CAN_BE_USED_AS_FUNCTIONAL_TEST_INPUT,CAN_BE_USED_AS_FE_INPUT,CAN_BE_USED_AS_PHYSICAL_EVIDENCE,TRACEABILITY,PHYSICAL_RESULT
V7_248,4,4,NOT_STATED,4,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_249,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_250,5,5,NOT_STATED,5,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_251,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_252,6,6,NOT_STATED,6,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_253,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_254,7,7,NOT_STATED,7,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_255,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_256,8,8,NOT_STATED,8,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_257,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_258,9,9,NOT_STATED,9,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_259,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_260,4,4,NOT_STATED,4,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,4,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-3. Dependent Claim Families
  The dependent claims should preserve optional implementations without weakening the independent architecture:

  2. The system of claim 1, wherein the energy-management path is present on each longitudinal load path.

  3. The system of claim 1, wherein the rotation-control path comprises bilateral links, dampers, torsion elements, hard stops or
     combinations thereof.

  4. The system of claim 1, wherein the transition condition uses seat acceleration, vehicle acceleration, seat travel, seatback
     rotation or a combination thereof.

  5. The system of claim 1, wherein rebound control applies directional damping, friction or mechanical locking.

  6. The system of claim 1, further comprising pelvic-control geometry configured to reduce forward pelvic migration while
     distributing contact load over a seat-pan region.

  7. The system of claim 1, wherein the energy-management path includes a replaceable cartridge characterized by a force-stroke
     relationship with at least two resistance regions.

  8. The system of claim 1, wherein left and right load-path reactions are separately measurable or ",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_261,0,0,NOT_STATED,0,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_262,-4,-4,NOT_STATED,-4,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_263,1,1,NOT_STATED,1,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_264,27,27,NOT_STATED,27,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_265,29,29,NOT_STATED,29,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_266,5,5,NOT_STATED,5,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,5,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-4. Mechanical Interaction - The Critical Novelty Candidate
  The key engineering relationship is not any single component. It is the controlled separation of functions:

Function                          Primary path                              Control relationship

Ride-down                         LP-C / absorber 130                       Seat carriage translation is allowed and dissipative work is generated.

Seatback rotation                 LP-B / links 150L/150R                    Rotation is limited by a mechanically distinct path.

State transition                  170                                       The active constraint/load path changes with event state.

Rebound                           180                                       Reverse travel is controlled after the primary stroke.

Occupant restraint                190                                       Remains operable independent of optional ride-down release.

Pelvis control                    140                                       Forward migration is limited while contact load is distributed.

   This is substantially more defensible than calling the enti",UNRESOLVED,UNRESOLVED,J_UNKNOWN_UNRESOLVED,J_UNKNOWN_UNRESOLVED,UNRESOLVED,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_267,0,0,NOT_STATED,0,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_268,-5,-5,NOT_STATED,-5,NOT_STATED,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_269,25.6 g,25.6 g,g,25.6 g,g,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_270,47.5 deg,47.5 deg,deg,47.5 deg,deg,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_271,24 deg,24 deg,deg,24 deg,deg,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
V7_272,2025 s,2025 s,s,2025 s,s,T_OCS_V7_Patent_Draft_Invention_Disclosure_.pdf,V7,6,extracted numeric context,NOT_STATED,"T-OCS V7.0 | V7 ENHANCEMENT ADDENDUM




  V7-5. Evidence Discipline - Source Result vs. T-OCS Result
Item                                           Source status                                  T-OCS status

25.6 g scaled pulse                            Used in NHTSA/SAE research simulation          Design-study input only until T-OCS validates a specific pulse.

47.5 deg -> 24 deg seatback rotation           Reported in the 2025 strengthened-seat model   Not a T-OCS performance claim.

HIC / Nij reductions                           Source-model predictions                       Not T-OCS evidence until validated.

180 mm stroke                                  Concept-board design target                    Not a measured crash result.

18-22 kN force range                           Concept-board design target                    Not measured absorber performance.

Generated CAD figures                          Concept visualization                          Not manufacturing release.

Patent novelty                                 Open legal question                            Requires professional search + claim chart.

   The V6 source already imposed this separation, including",UNRESOLVED,UNRESOLVED,E_SOURCE_STUDY_VALUE,E_SOURCE_STUDY_VALUE,SOURCE_STUDY_VALUE,REFERENCE_ONLY,False,False,False,False,PASS,NO
